PN,PID,Inspector,Profile,Fixture/Tip,Fiber Type,Cleaning,Max Kitting,,
10-2766-01,DWDM-SFP10G-42.14=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2767-01,DWDM-SFP10G-40.56=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2953-01,SFP-10G-BX40D-I=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2954-01,SFP-10G-BX40U-I=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2764-01,DWDM-SFP10G-46.92=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2780-01,DWDM-SFP10G-32.68=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2220-03,DWDM-SFP-5575=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2474-02,DWDM-SFP-4931=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2236-03,DWDM-SFP-3977=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2235-03,DWDM-SFP-4056=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2779-01,DWDM-SFP10G-35.04=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2769-01,DWDM-SFP10G-43.73=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2751-01,DWDM-SFP10G-55.75=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3426-01,ONS-SI+-10G-LR=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2762-01,DWDM-SFP10G-50.92=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2749-01,DWDM-SFP10G-58.17=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2754-01,DWDM-SFP10G-56.55=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2756-01,DWDM-SFP10G-52.52=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2757-01,DWDM-SFP10G-51.72=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2759-01,DWDM-SFP10G-50.12=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2760-01,DWDM-SFP10G-49.32=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2765-01,DWDM-SFP10G-44.53=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2771-01,DWDM-SFP10G-41.35=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2774-01,DWDM-SFP-10G-39.77=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2775-01,DWDM-SFP-10G-36.61=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2781-01,DWDM-SFP-10G-31.90=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2758-01,DWDM-SFP-10G-53.33=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2770-01,DWDM-SFP-10G-42.94=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2783-01,DWDM-SFP-10G-33.47=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2768-01,DWDM-SFP-10G-45.32=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2763-01,DWDM-SFP-10G-47.72=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
